date,pledge
"2021-04-06","0.3036"
"2021-04-07","0.3020"
"2021-04-08","0.3004"
"2021-04-09","0.2985"
"2021-04-10","0.2973"
"2021-04-11","0.2961"
"2021-04-12","0.2976"
"2021-04-13","0.2946"
"2021-04-14","0.2914"
"2021-04-15","0.2903"
"2021-04-16","0.2897"
"2021-04-17","0.2867"
"2021-04-18","0.2847"
"2021-04-19","0.2833"
"2021-04-20","0.2813"
"2021-04-21","0.2796"
"2021-04-22","0.2784"
"2021-04-23","0.2763"
"2021-04-24","0.2736"
"2021-04-25","0.2723"
"2021-04-26","0.2712"
"2021-04-27","0.2698"
"2021-04-28","0.2704"
"2021-04-29","0.2679"
"2021-04-30","0.2666"
"2021-05-01","0.2643"
"2021-05-02","0.2632"
"2021-05-03","0.2610"
"2021-05-04","0.2596"
"2021-05-05","0.2583"
"2021-05-06","0.2575"
"2021-05-07","0.2565"
"2021-05-08","0.2551"
"2021-05-09","0.2534"
"2021-05-10","0.2520"
"2021-05-11","0.2514"
"2021-05-12","0.2499"
"2021-05-13","0.2486"
"2021-05-14","0.2472"
"2021-05-15","0.2457"
"2021-05-16","0.2450"
"2021-05-17","0.2440"
"2021-05-18","0.2424"
"2021-05-19","0.2413"
"2021-05-20","0.2404"
"2021-05-21","0.2387"
"2021-05-22","0.2374"
"2021-05-23","0.2370"
"2021-05-24","0.2361"
"2021-05-25","0.2351"
"2021-05-26","0.2340"
"2021-05-27","0.2331"
"2021-05-28","0.2335"
"2021-05-29","0.2336"
"2021-05-30","0.2317"
"2021-05-31","0.2298"
"2021-06-01","0.2292"
"2021-06-02","0.2362"
"2021-06-03","0.2324"
"2021-06-04","0.2262"
"2021-06-05","0.2263"
"2021-06-06","0.2248"
"2021-06-07","0.2240"
"2021-06-08","0.2236"
"2021-06-09","0.2231"
"2021-06-10","0.2227"
"2021-06-11","0.2225"
"2021-06-12","0.2218"
"2021-06-13","0.2223"
"2021-06-14","0.2193"
"2021-06-15","0.2187"
"2021-06-16","0.2184"
"2021-06-17","0.2180"
"2021-06-18","0.2172"
"2021-06-19","0.2172"
"2021-06-20","0.2162"
"2021-06-21","0.2152"
"2021-06-22","0.2150"
"2021-06-23","0.2146"
"2021-06-24","0.2137"
"2021-06-25","0.2133"
"2021-06-26","0.2126"
"2021-06-27","0.2123"
"2021-06-28","0.2122"
"2021-06-29","0.2120"
"2021-06-30","0.2151"
"2021-07-01","0.2125"
"2021-07-02","0.2106"
"2021-07-03","0.2103"
"2021-07-04","0.2106"
"2021-07-05","0.2084"
"2021-07-06","0.2077"
"2021-07-07","0.2069"
"2021-07-08","0.2060"
"2021-07-09","0.2050"
"2021-07-10","0.2038"
"2021-07-11","0.2037"
"2021-07-12","0.2024"
"2021-07-13","0.2011"
"2021-07-14","0.2000"
"2021-07-15","0.1996"
"2021-07-16","0.2029"
"2021-07-17","0.1977"
"2021-07-18","0.1959"
"2021-07-19","0.1985"
"2021-07-20","0.1957"
"2021-07-21","0.1943"
"2021-07-22","0.1957"
"2021-07-23","0.1928"
"2021-07-24","0.1914"
"2021-07-25","0.1912"
"2021-07-26","0.1906"
